EVCC,VCC,NGC,RAJ2000,DEJ2000,Offset,cz,MmI,MmV,MTyp1,MTyp2,TT1,MTypV,umag,gmag,rmag,imag,zmag,Rad,R50,DR7,Sloan,Simbad,NED
905,1585,,188.69149999999996,15.220799999999999,5.46,559.5,M,M,Irr(LSB),BA,300,ImIII-IVpec,15.78,15.15,14.84,14.62,14.29,79.06,18.72,DR7,Sloan,Simbad,NED
906,0,,188.70569999999998,17.814199999999996,0.861,1213.6,M," ",dS0(N),RA,411,,15.91,14.27,13.68,13.32,13.14,57.8,15.47,DR7,Sloan,Simbad,NED
907,1587,,188.70619999999997,6.836299999999999,0.175,743.9,M,P,dE,RA,400,dE6?,18.24,17.39,16.74,16.35,16.49,31.47,7.31,DR7,Sloan,Simbad,NED
908,0,,188.72199999999998,24.329299999999996,1.397,1176.3,M," ",Irr(LSB),BA,300,,18.57,17.12,16.84,16.51,17.08,30.69,7.67,DR7,Sloan,Simbad,NED
909,1597,,188.76049999999998,5.424899999999999,3.001,846.8,M,B,edge-on,RE,207,Sc(on_edge),16.69,15.92,15.31,14.99,14.63,54.3,10.79,DR7,Sloan,Simbad,NED
910,1603,,188.78239999999997,13.5644,0.065,728.1,M,M,dE(N),RA,401,"dE4,N",17.68,17.08,16.33,15.85,15.71,35.55,9.59,DR7,Sloan,Simbad,NED
911,1602,,188.78399999999996,13.485399999999998,0.234,1784.0,M,M,dE,RA,400,dE7:,18.56,17.37,16.76,16.31,16.59,45.03,10.04,DR7,Sloan,Simbad,NED
912,1605,,188.80799999999996,10.431799999999999,2.905,1291.3,M,P,edge-on,BA,207,S:,17.89,16.99,16.7,16.27,16.36,47.36,9.33,DR7,Sloan,Simbad,NED
913,1606,,188.8113,12.237499999999999,0.396,710.6,M,M,dE(N),RA,401,"dE3,N",17.91,17.24,16.77,16.42,16.01,28.8,8.64,DR7,Sloan,Simbad,NED
916,1614,,188.8635,12.750299999999998,0.242,750.2,M,M,S0,RE,200,S032,15.82,14.33,13.72,13.38,13.19,29.92,8.26,DR7,Sloan,Simbad,NED
917,1616,,188.86679999999998,14.261299999999999,0.113,188.2,M,M,dE(N),RA,401,"dE5,N",17.63,16.56,15.97,15.48,15.09,43.78,10.81,DR7,Sloan,Simbad,NED
918,1617,,188.87869999999998,6.333799999999999,0.799,1587.4,M,P,dS0(N),BE,411,d:S04pec?,16.42,15.3,14.78,14.51,14.48,34.57,9.71,DR7,Sloan,Simbad,NED
920,1624,4544,188.90229999999997,3.0349999999999997,4.328,1118.7,M,P,edge-on,RE,207,Sc(on_edge),14.9,13.56,12.85,12.41,12.22,80.39,15.3,DR7,Sloan,Simbad,NED
921,1627,,188.90519999999998,12.381999999999998,0.055,284.4,M,M,E,RA,100,E0,16.82,15.11,14.34,13.94,13.65,15.68,3.49,DR7,Sloan,Simbad,NED
922,1630,4551,188.90809999999996,12.263999999999998,17.566,1177.9,M,M,E,RA,100,E2,14.32,12.58,11.78,11.35,11.06,57.46,12.05,DR7,Sloan,Simbad,NED
923,1629,,188.91019999999997,9.5895,1.568,757.0,M,M,dE,RA,400,dE4,20.12,17.37,16.93,16.75,16.18,35.54,9.85,DR7,Sloan,Simbad,NED
924,1637,,188.9397,12.181399999999998,0.054,814.4,M,M,dE(N),RA,401,"dE0,N",18.73,18.29,17.57,17.21,17.3,21.26,6.85,DR7,Sloan,Simbad,NED
925,0,,188.95609999999996,20.298699999999997,0.247,764.0,M," ",dE(N),RA,401,,19.09,17.57,16.83,16.41,16.62,32.07,9.58,DR7,Sloan,Simbad,NED
927,1642,,188.9714,11.681999999999999,0.196,1331.5,M,M,dE(N),RA,401,"dE2,N",19.08,17.31,16.78,16.15,15.73,30.27,12.96,DR7,Sloan,Simbad,NED
928,1647,,188.98609999999996,10.936199999999998,0.547,82.3,M,M,dE,RA,400,dE4,16.62,15.84,15.25,14.87,14.69,51.44,13.24,DR7,Sloan,Simbad,NED
929,1649,,189.01199999999997,7.200399999999999,0.13,1046.2,M,M,dE(N),RA,401,"dE3,N:",16.73,15.41,14.91,14.56,14.38,50.86,13.8,DR7,Sloan,Simbad,NED
930,0,4561,189.0339,19.322699999999998,0.168,1361.5,M," ",SBd,BE,214,,13.7,12.79,12.48,12.28,12.24,65.19,19.19,DR7,Sloan,Simbad,NED
931,1654,,189.04389999999998,9.922299999999998,1.136,2066.4,M,M,Sm,BE,205,ImIII,16.95,15.96,15.6,15.66,14.84,43.66,10.26,DR7,Sloan,Simbad,NED
932,1661,,189.10329999999996,10.384699999999999,0.346,1452.6,M,M,dE(N),RA,401,"dE0,N",16.99,15.71,14.88,14.49,14.54,57.46,19.6,DR7,Sloan,Simbad,NED
