EVCC,VCC,NGC,RAJ2000,DEJ2000,Offset,cz,MmI,MmV,MTyp1,MTyp2,TT1,MTypV,umag,gmag,rmag,imag,zmag,Rad,R50,DR7,Sloan,Simbad,NED
1049,1891,,190.45389999999998,11.191399999999998,0.164,1047.5,M,M,dE(N),RA,401,"dE4,N",18.09,16.96,16.34,16.03,16.07,26.91,7.38,DR7,Sloan,Simbad,NED
1050,1895,,190.46649999999997,9.402899999999999,0.12,974.9,M,M,dS0,RA,410,d:E6,16.33,14.89,14.26,13.92,13.72,51.16,10.36,DR7,Sloan,Simbad,NED
1051,1897,,190.47609999999997,13.772899999999998,0.376,111.7,M,M,dE(N),RA,401,"dE4,N:",15.49,14.19,13.58,13.26,13.12,102.02,24.53,DR7,Sloan,Simbad,NED
1052,1896,,190.47749999999996,9.584599999999998,0.065,1897.4,M,M,dS0(N),RA,411,"dSB012,N",16.17,14.87,14.2,13.79,13.76,42.33,13.32,DR7,Sloan,Simbad,NED
1053,1898,,190.48769999999996,3.8192999999999997,0.439,884.0,M,P,dE,RA,400,?,17.98,15.97,15.32,14.93,14.62,42.56,10.67,DR7,Sloan,Simbad,NED
1055,1902,4620,190.49729999999997,12.942899999999998,0.058,1136.9,M,M,SBa,RA,211,S0/Sa,14.67,13.14,12.52,12.15,11.97,72.02,20.5,DR7,Sloan,Simbad,NED
1056,1906,,190.51119999999997,15.636499999999998,0.031,397.3,M,P,dS0,RA,410,S0:,17.19,15.78,15.13,14.77,14.65,22.04,6.07,DR7,Sloan,Simbad,NED
1057,1909,,190.53089999999997,11.8281,0.321,91.6,M,M,dE(N),RA,401,"dE5,N",17.63,15.83,15.5,15.07,14.54,46.41,11.31,DR7,Sloan,Simbad,NED
1058,1910,,190.53609999999998,11.754199999999999,0.226,209.8,M,M,dE(N),RA,401,"dE1,N",15.87,14.21,13.46,13.05,12.8,38.14,11.11,DR7,Sloan,Simbad,NED
1059,1912,,190.53789999999998,12.596799999999998,0.144,-74.2,M,M,dS0(N),RA,411,"dS08,N",15.37,14.0,13.39,13.07,12.91,72.97,13.35,DR7,Sloan,Simbad,NED
1060,1917,,190.57449999999997,3.4688999999999997,0.757,761.6,M,P,dE(N),RA,401,"dE0,N",16.89,15.5,14.89,14.6,14.18,67.26,20.97,DR7,Sloan,Simbad,NED
1061,1919,,190.5758,10.567599999999999,0.177,1848.3,M,M,dE(N),RA,401,"dE0,N",17.66,16.21,15.63,15.28,15.97,53.35,16.59,DR7,Sloan,Simbad,NED
1062,1918,,190.57739999999998,5.739299999999999,0.492,996.7,M,P,Irr(LSB),BE,300,ImIII?,17.23,16.49,16.32,16.05,15.75,30.15,8.63,DR7,Sloan,Simbad,NED
1063,0,,190.58589999999998,17.5098,0.818,1219.3,M," ",dS0(N),BA,411,,16.02,15.02,14.39,14.03,14.17,77.9,20.04,DR7,Sloan,Simbad,NED
1064,1920,,190.58859999999999,2.0666999999999995,0.117,1334.0,M,P,dS0(N),BE,411,S0?,16.73,15.45,14.8,14.48,14.38,32.97,8.09,DR7,Sloan,Simbad,NED
1065,1921,,190.61049999999997,11.740199999999998,0.273,1162.1,M,M,dS0(N),RA,411,dS08,16.8,15.73,15.07,14.75,14.71,59.21,13.19,DR7,Sloan,Simbad,NED
1067,0,,190.61889999999997,1.0976,0.605,858.8,M," ",Irr(LSB),BE,300,,18.23,17.06,16.79,16.66,16.55,15.6,4.25,DR7,Sloan,Simbad,NED
1069,1923,4630,190.62989999999996,3.9586999999999994,1.891,732.4,M,P,Sd,BE,204,Sbc(s)II-III,13.89,12.76,12.19,11.88,11.69,79.96,20.34,DR7,Sloan,Simbad,NED
1070,0,4629,190.63639999999998,-1.3500999999999999,2.313,1116.6,M," ",Sd,BE,204,,14.02,13.64,13.35,13.18,12.98,73.92,18.94,DR7,Sloan,Simbad,NED
1071,1929,4633,190.65529999999998,14.357099999999997,1.644,304.6,M,M,Sd,BE,204,Scd(s),14.48,13.48,13.0,12.65,12.55,99.74,23.55,DR7,Sloan,Simbad,NED
1072,0,4635,190.66359999999997,19.946199999999997,3.07,963.5,M," ",Sd,BE,204,,14.48,12.98,12.56,12.28,12.28,102.19,29.64,DR7,Sloan,Simbad,NED
1073,1931,,190.66959999999997,13.266499999999999,1.496,1153.7,M,M,Irr(LSB),BE,300,ImIII:,16.0,15.64,15.27,15.0,14.97,44.63,11.74,DR7,Sloan,Simbad,NED
1074,1932,4634,190.67049999999998,14.295599999999999,43.801,232.6,M,M,Sc,BA,203,Sc(on_edge),14.03,12.74,12.16,11.81,11.62,124.89,26.56,DR7,Sloan,Simbad,NED
1075,0,,190.6786,0.5922999999999999,0.233,1040.8,M," ",dE(N),RA,401,,19.36,17.8,17.25,16.96,16.78,16.06,6.15,DR7,Sloan,Simbad,NED
1076,1934,,190.6888,3.4305999999999996,0.5,659.0,M,P,dE(N),RA,401,"dE5,N",17.51,15.9,15.35,15.05,14.79,48.01,11.34,DR7,Sloan,Simbad,NED
1077,1936,,190.69159999999997,9.510699999999998,0.321,959.4,M,M,dS0(N),RA,411,"dS00:,N",16.9,15.68,14.98,14.57,14.48,33.1,9.31,DR7,Sloan,Simbad,NED
1078,1939,4636,190.70629999999997,2.6917999999999997,15.204,922.3,M,P,E,RE,100,E1/S011,11.6,9.68,9.07,8.69,8.46,359.57,77.57,DR7,Sloan,Simbad,NED
1079,1942,,190.71159999999998,12.308399999999999,1.133,1685.1,M,M,dE(N),RA,401,"dE4,N:",17.61,16.03,15.55,15.11,15.39,52.86,13.19,DR7,Sloan,Simbad,NED
1080,1943,4639,190.71849999999998,13.257099999999998,26.418,1091.6,M,M,SBb,BE,212,SBb(r)II,12.99,11.75,11.32,10.93,10.7,97.55,22.7,DR7,Sloan,Simbad,NED
1081,1947,,190.73469999999998,3.6765999999999996,0.184,974.9,M,P,dE(N),RA,401,"dE2,N",15.77,14.26,13.57,13.2,12.96,35.01,9.14,DR7,Sloan,Simbad,NED
1082,1949,4640,190.74089999999998,12.286999999999999,0.49,1735.9,M,M,dS0(N),RA,411,"dSB04,NordEII,N",15.63,13.9,13.27,12.87,12.72,74.58,20.25,DR7,Sloan,Simbad,NED
1083,1948,,190.7419,10.681999999999999,0.286,1595.0,M,M,dE,RA,400,dE3,16.77,15.43,14.86,14.49,14.61,44.61,11.58,DR7,Sloan,Simbad,NED
1084,0,,190.74889999999996,2.1009999999999995,0.371,860.6,M," ",dE(N),RA,401,,16.71,17.17,16.75,16.57,16.3,32.14,10.87,DR7,Sloan,Simbad,NED
1085,1950,,190.75139999999996,16.0872,0.166,819.7,M,M,dE(N),RA,401,dE2:,15.73,16.39,15.86,15.5,15.11,42.59,12.21,DR7,Sloan,Simbad,NED
1086,1951,,190.75929999999997,11.698099999999998,0.253,1149.3,M,M,dE(N),RA,401,"dE0,N",17.91,16.61,15.98,15.33,16.18,42.05,15.5,DR7,Sloan,Simbad,NED
1088,1952,,190.78059999999996,7.654899999999999,2.643,1287.6,M,M,Irr(LSB),BE,300,ImIV,17.11,16.08,15.94,15.6,15.27,43.55,11.86,DR7,Sloan,Simbad,NED
1089,1955,4641,190.78179999999998,12.050499999999998,2.561,2010.6,M,M,dS0,BE,410,Spec/BCD,14.73,13.44,12.89,12.58,12.83,97.45,26.6,DR7,Sloan,Simbad,NED
1090,1957,,190.78419999999997,14.519999999999998,0.321,1190.6,M,P,dE(N),BA,401,"dE4?,N",18.9,17.23,16.6,16.01,18.94,39.82,10.59,DR7,Sloan,Simbad,NED
1091,1958,,190.79319999999998,11.0369,0.223,1082.5,M,M,dE(N),RA,401,"dE2,N",18.11,16.66,16.0,15.83,15.78,31.34,8.89,DR7,Sloan,Simbad,NED
1094,1965,,190.83759999999998,3.4201999999999995,0.23,873.6,M,P,Irr(LSB),BE,300,Im?,17.75,16.56,16.05,15.73,15.57,36.38,9.17,DR7,Sloan,Simbad,NED
1095,0,,190.84589999999997,5.765699999999999,3.326,1497.4,M," ",Irr(LSB),BA,300,,18.5,17.35,17.09,16.87,16.91,28.45,7.38,DR7,Sloan,Simbad,NED
1096,1966,,190.84659999999997,14.172499999999998,0.079,201.4,M,P,dE,RA,400,dE5?,18.04,16.83,16.28,16.03,15.37,44.41,11.09,DR7,Sloan,Simbad,NED
1097,0,,190.8507,24.5251,0.225,1161.8,M," ",Irr(LSB),BE,300,,17.11,16.63,16.27,16.08,15.81,32.51,7.52,DR7,Sloan,Simbad,NED
1098,1971,,190.87879999999998,11.047099999999999,0.445,1418.3,M,M,dE,RA,400,dE3:,17.45,16.33,15.77,15.4,15.21,34.57,9.4,DR7,Sloan,Simbad,NED
1099,1972,4647,190.88649999999998,11.580899999999998,6.441,1417.2,M,M,Sc,RE,203,Sc(rs)III,12.35,10.89,10.23,9.84,9.66,191.76,56.87,DR7,Sloan,Simbad,NED
1100,0,,190.90359999999998,1.1501,0.591,808.1,M," ",dE(N),RA,401,,17.9,18.0,17.22,16.79,16.66,33.94,7.39,DR7,Sloan,Simbad,NED
1101,1978,4649,190.91639999999998,11.552699999999998,39.522,1015.6,M,M,S0,RA,200,S012,11.37,9.52,8.68,8.22,7.98,225.27,50.12,DR7,Sloan,Simbad,NED
1102,0,4651,190.92799999999997,16.3938,16.163,700.4,M," ",Sc,BE,203,,12.26,11.1,10.52,10.21,10.02,138.86,27.7,DR7,Sloan,Simbad,NED
1103,1980,,190.95009999999996,8.760699999999998,0.293,1774.7,M,M,dE(N),RA,401,"dE4,N",18.25,16.64,16.01,15.63,15.39,42.78,9.0,DR7,Sloan,Simbad,NED
1105,1982,,190.96269999999998,11.466999999999999,0.288,934.3,M,M,dE,RA,400,dE6:,16.85,15.67,14.99,14.5,14.48,53.28,11.07,DR7,Sloan,Simbad,NED
1106,1983,,190.97199999999998,10.745499999999998,0.433,1341.6,M,M,dE,BA,400,dE1,17.52,16.67,16.26,15.94,15.65,20.5,7.13,DR7,Sloan,Simbad,NED
1107,0,,190.97289999999998,2.6333999999999995,1.685,1362.0,M," ",dE,BA,400,,17.91,16.89,16.37,16.02,15.87,22.46,5.78,DR7,Sloan,Simbad,NED
1108,0,,190.97529999999998,16.547399999999996,1.37,1212.2,M," ",Irr(LSB),BA,300,,18.44,17.24,16.85,16.8,16.76,19.59,5.32,DR7,Sloan,Simbad,NED
1109,1987,4654,190.98649999999998,13.125699999999998,4.419,1042.5,M,M,SBc,BE,213,SBc(rs)II,11.99,10.87,10.35,10.04,9.84,197.77,50.0,DR7,Sloan,Simbad,NED
1111,0,,191.00599999999997,4.02,0.766,1016.5,M," ",dE(N),RA,401,,19.29,17.73,17.04,16.69,16.44,36.16,8.81,DR7,Sloan,Simbad,NED
1112,1989,,191.0185,13.250899999999998,0.144,512.5,M,M,dE(N),RA,401,dE1:,18.8,17.93,17.37,17.03,16.79,19.44,5.67,DR7,Sloan,Simbad,NED
1113,0,,191.03309999999996,3.0061999999999998,0.175,1368.0,M," ",dE(N),RA,401,,17.27,16.08,15.49,15.17,14.77,30.57,8.2,DR7,Sloan,Simbad,NED
1114,1991,,191.03909999999996,11.176599999999999,0.332,1682.4,M,M,dE(N),RA,401,"dE3,N",16.98,15.39,14.7,14.37,14.3,60.0,17.75,DR7,Sloan,Simbad,NED
1115,1992,,191.03919999999997,12.1154,6.282,987.0,M,M,Irr(LSB),BE,300,ImIV,16.4,15.49,15.27,15.19,15.76,64.62,18.18,DR7,Sloan,Simbad,NED
1116,0,,191.04869999999997,3.6067999999999993,0.188,815.1,M," ",dE(N),RA,401,,16.76,15.52,14.94,14.51,14.24,44.44,14.75,DR7,Sloan,Simbad,NED
1117,1993,,191.0501,12.941899999999999,0.272,848.3,M,P,dE,RA,400,E0,16.85,15.44,14.84,14.51,14.25,31.91,8.73,DR7,Sloan,Simbad,NED
1118,0,,191.06219999999996,2.4619999999999997,0.355,858.3,M," ",dE(N),RA,401,,18.67,17.27,16.71,16.18,15.45,37.73,9.17,DR7,Sloan,Simbad,NED
1119,0,,191.0724,2.6673999999999998,0.532,1077.0,M," ",dE(N),RA,401,,19.16,17.94,17.37,16.98,17.01,16.33,4.84,DR7,Sloan,Simbad,NED
1120,0,,191.08749999999998,6.089899999999999,2.044,1286.0,M," ",Irr(LSB),BE,300,,17.5,16.69,16.44,16.16,15.84,42.07,9.61,DR7,Sloan,Simbad,NED
1122,0,,191.12019999999998,0.46829999999999994,1.218,1209.1,M," ",SBd,BE,214,,13.83,13.3,12.87,12.32,12.27,124.49,42.55,DR7,Sloan,Simbad,NED
1123,1999,4659,191.12239999999997,13.498499999999998,0.455,477.5,M,M,Sa,RA,201,Sa,14.29,12.7,12.0,11.59,11.37,64.26,14.01,DR7,Sloan,Simbad,NED
1124,0,,191.13929999999996,1.7368999999999997,0.111,983.8,M," ",dE(N),RA,401,,17.3,16.25,15.57,15.13,15.19,47.07,14.03,DR7,Sloan,Simbad,NED
1128,2006,,191.18909999999997,12.350799999999998,6.173,893.6,M,M,S,BA,206,Amorphu,15.01,13.69,13.13,12.9,12.58,109.05,22.73,DR7,Sloan,Simbad,NED
1129,2004,,191.19179999999997,8.980199999999998,0.816,1272.9,M,M,dE,RA,400,dE0,16.71,15.79,15.19,14.87,15.09,58.98,18.42,DR7,Sloan,Simbad,NED
1130,2008,,191.19749999999996,12.064699999999998,15.187,1720.2,M,M,dE,RA,400,dE5,15.96,14.72,14.19,13.84,13.69,111.12,28.86,DR7,Sloan,Simbad,NED
1132,0,,191.21599999999998,16.418499999999998,1.38,983.8,M," ",SBm,BE,215,,16.74,16.76,16.31,16.19,15.73,34.24,9.02,DR7,Sloan,Simbad,NED
1133,2012,,191.27329999999998,10.900999999999998,1.057,1087.6,M,M,dS0(N),RA,411,"dE1:,N:",15.95,14.46,13.83,13.36,13.24,68.8,21.64,DR7,Sloan,Simbad,NED
1134,2014,,191.29009999999997,10.630299999999998,0.879,944.8,M,M,dE(N),RA,401,"dE0,N",17.71,16.96,16.17,15.52,16.27,41.56,18.06,DR7,Sloan,Simbad,NED
1136,2017,,191.31419999999997,7.615699999999999,0.283,1299.7,M,M,dE(N),RA,401,"dE3,N",18.09,16.01,15.72,15.31,15.39,46.64,10.21,DR7,Sloan,Simbad,NED
1139,2023,,191.38279999999997,13.331799999999998,3.708,945.2,M,M,SBc,BE,213,SBc(s)II,15.04,13.88,13.49,13.27,13.18,76.59,19.55,DR7,Sloan,Simbad,NED
1141,0,,191.38869999999997,10.490499999999999,0.09,969.7,M," ",dE,RA,400,,19.64,18.39,17.78,17.46,17.24,13.43,4.4,DR7,Sloan,Simbad,NED
1142,0,,191.3969,1.9886999999999997,0.393,1247.2,M," ",dE(N),RA,401,,18.74,16.98,16.41,16.12,15.75,22.9,5.84,DR7,Sloan,Simbad,NED
1143,2028,,191.40599999999998,13.328399999999998,0.504,54.2,M,M,Irr(LSB),BA,300,dE7:,18.71,16.41,15.98,15.85,15.89,30.49,8.52,DR7,Sloan,Simbad,NED
1144,2029,,191.41749999999996,9.406199999999998,0.831,1295.9,M,M,dE,RA,400,dE3,18.44,17.5,16.96,16.08,17.04,28.36,7.96,DR7,Sloan,Simbad,NED
1146,0,,191.43769999999998,12.235699999999998,0.059,1547.2,M," ",dE(N),RA,401,,18.79,18.05,17.66,17.17,17.23,17.26,5.14,DR7,Sloan,Simbad,NED
1148,2033,,191.51859999999996,8.476299999999998,0.409,1478.5,M,M,Irr(HSB),BE,310,BCD,16.1,14.97,14.53,14.23,14.15,36.08,8.04,DR7,Sloan,Simbad,NED
1150,2037,,191.56389999999996,10.2054,0.993,1145.3,M,M,Irr(LSB),BE,300,ImIII/BCD,16.45,15.47,14.9,14.54,15.53,87.04,21.95,DR7,Sloan,Simbad,NED
1151,0,,191.56849999999997,2.0462,0.268,965.8,M," ",dE(N),BA,401,,18.12,17.0,16.46,16.15,15.9,25.17,6.68,DR7,Sloan,Simbad,NED
1152,0,,191.63819999999998,3.2988999999999997,1.649,805.0,M," ",Sm,BA,205,,17.73,16.04,15.46,15.13,15.07,43.02,10.49,DR7,Sloan,Simbad,NED
1154,2042,,191.65929999999997,9.307199999999998,0.331,861.3,M,M,dS0(N),RA,411,"dE1,N",15.69,14.37,14.17,13.72,13.38,69.51,22.08,DR7,Sloan,Simbad,NED
1155,0,,191.70589999999999,2.7137999999999995,1.264,963.6,M," ",dE(N),RA,401,,18.2,17.53,17.01,16.65,17.47,29.02,10.96,DR7,Sloan,Simbad,NED
1156,0,,191.70649999999998,3.0067999999999997,3.85,1211.5,M," ",Irr(LSB),BA,300,,16.81,15.78,15.53,15.37,14.84,40.42,12.75,DR7,Sloan,Simbad,NED
1158,2045,,191.73129999999998,10.1825,0.563,1310.4,M,M,dE(N),RA,401,"dE6:,N",18.47,15.81,15.15,14.72,14.77,59.21,12.56,DR7,Sloan,Simbad,NED
1161,2048,,191.8138,10.203599999999998,0.034,1097.5,M,M,S0,RA,200,d:S09,15.25,13.81,13.13,12.78,12.56,68.32,12.43,DR7,Sloan,Simbad,NED
1162,2049,,191.81759999999997,11.760699999999998,2.514,1090.7,M,M,dS0,RA,410,"dE8,N:",17.18,15.93,15.41,14.99,15.57,60.83,12.05,DR7,Sloan,Simbad,NED
1163,2050,,191.83599999999998,12.166399999999998,0.107,1153.9,M,M,dE,RA,400,"dE5:,N",16.61,15.19,14.51,14.16,14.13,42.63,10.6,DR7,Sloan,Simbad,NED
1164,2054,,191.91379999999998,9.157599999999999,0.112,1585.4,M,M,dE(N),RA,401,dE3:,17.88,16.34,15.85,15.43,15.6,36.64,9.89,DR7,Sloan,Simbad,NED
1166,2058,4689,191.94029999999998,13.761699999999998,4.289,1625.3,M,M,Sc,RE,203,Sc(s)II.3,12.53,11.27,10.66,10.32,10.1,187.81,53.97,DR7,Sloan,Simbad,NED
1167,0,4688,191.9448,4.337599999999999,16.051,968.8,M," ",SBc,BE,213,,13.66,12.65,12.36,12.14,12.14,127.4,39.78,DR7,Sloan,Simbad,NED
1168,0,,191.99839999999998,4.4334,7.532,1042.1,M," ",Sm,BE,205,,16.05,15.1,14.73,14.52,14.44,40.96,11.02,DR7,Sloan,Simbad,NED
1169,0,,191.99919999999997,4.6949,0.386,1028.2,M," ",dE(N),RA,401,,16.54,15.24,14.64,14.3,14.12,38.71,10.05,DR7,Sloan,Simbad,NED
1171,2066,4694,192.06279999999998,10.9835,27.982,1179.6,M,M,S0,RA,200,Amorphu,13.16,11.92,11.34,11.0,10.78,116.3,22.97,DR7,Sloan,Simbad,NED
1173,2070,4698,192.09579999999997,8.487499999999999,13.431,1031.7,M,M,Sa,RE,201,Sa,12.8,11.14,10.36,9.93,9.69,148.84,30.71,DR7,Sloan,Simbad,NED
1174,2073,,192.11279999999996,10.558099999999998,0.546,1168.9,M,B,S0,RA,200,S0:,17.35,15.97,15.36,15.04,14.88,17.12,5.52,DR7,Sloan,Simbad,NED
1176,0,,192.23089999999996,14.907899999999998,0.641,1412.1,M," ",Sa,RE,201,,15.39,13.94,13.21,12.84,12.66,69.71,14.13,DR7,Sloan,Simbad,NED
1177,2080,,192.24339999999998,10.586699999999999,0.191,1513.5,M,M,dS0,RA,410,dE6pec:,16.73,15.76,15.03,14.66,14.43,54.89,11.98,DR7,Sloan,Simbad,NED
1178,0,4701,192.2984,3.3887999999999994,4.86,753.0,M," ",Sc,BE,203,,13.49,12.48,12.09,11.86,11.7,82.93,16.63,DR7,Sloan,Simbad,NED
1182,0,4710,192.41259999999997,15.165699999999998,8.311,1190.6,M," ",edge-on,RE,207,,12.97,11.26,10.5,10.09,9.85,161.1,32.11,DR7,Sloan,Simbad,NED
1183,0,,192.41519999999997,12.625899999999998,2.86,834.4,M," ",dE(N),RA,401,,16.24,15.01,14.44,14.17,14.07,108.17,21.86,DR7,Sloan,Simbad,NED
1184,0,,192.42589999999998,5.489299999999999,2.398,692.4,M," ",Irr(LSB),BA,300,,19.38,18.12,17.92,17.95,17.48,15.91,5.08,DR7,Sloan,Simbad,NED
1185,2081,,192.44259999999997,11.225999999999999,4.722,228.8,M,M,dE,RA,400,dE2pec?,18.31,16.83,16.17,15.64,16.34,39.78,11.62,DR7,Sloan,Simbad,NED
1187,0,,192.45929999999998,2.8512999999999997,0.223,1162.6,M," ",edge-on,RE,207,,15.05,13.49,12.84,12.44,12.19,127.98,23.37,DR7,Sloan,Simbad,NED
1188,0,,192.48469999999998,2.5102999999999995,1.324,741.1,M," ",S,BE,206,,17.99,17.26,16.94,16.83,16.57,22.3,4.94,DR7,Sloan,Simbad,NED
1189,0,4713,192.4902,5.310999999999999,3.455,646.6,M," ",SBc,BE,213,,12.76,11.94,11.62,11.46,11.34,89.8,26.38,DR7,Sloan,Simbad,NED
1190,0,,192.49659999999997,5.820999999999999,0.535,509.9,M," ",Irr(HSB),BE,310,,17.58,16.5,16.1,15.91,15.91,17.87,5.36,DR7,Sloan,Simbad,NED
1191,0,,192.5304,2.2478,0.491,1052.0,M," ",dE(N),RA,401,,17.84,16.72,16.05,15.86,15.66,38.19,11.72,DR7,Sloan,Simbad,NED
1192,2083,,192.56029999999998,10.54,0.2,893.0,M,M,dE(N),RA,401,"dS0:,N",16.73,15.46,14.85,14.49,14.25,51.49,14.29,DR7,Sloan,Simbad,NED
1193,0,,192.63069999999996,17.472099999999998,3.928,844.8,M," ",Sm,BE,205,,17.0,16.16,15.74,15.6,16.32,68.92,13.68,DR7,Sloan,Simbad,NED
1194,0,,192.65739999999997,9.879,0.47,1662.8,M," ",dE(N),RA,401,,19.45,17.76,17.38,16.97,16.66,18.91,5.98,DR7,Sloan,Simbad,NED
1196,0,,192.6948,4.889899999999999,0.385,691.7,M," ",Irr(LSB),BE,300,,19.56,18.32,17.92,17.64,17.52,12.82,3.25,DR7,Sloan,Simbad,NED
1197,0,,192.74749999999997,9.078399999999998,5.76,1144.3,M," ",Irr(LSB),BE,300,,17.1,16.65,16.11,15.99,15.71,45.68,10.6,DR7,Sloan,Simbad,NED
1198,0,,192.75089999999997,1.8458999999999997,0.286,943.6,M," ",dS0,RA,410,,17.51,16.45,15.9,15.47,15.17,45.97,9.87,DR7,Sloan,Simbad,NED
1199,2090,,192.85089999999997,10.579699999999999,1.998,1593.3,M,M,dE(N),RA,401,"dE6,N",16.54,15.71,15.21,14.83,14.7,69.9,17.06,DR7,Sloan,Simbad,NED
1200,0,,192.8875,19.723,0.259,1142.5,M," ",dE,BE,400,,17.77,16.76,16.33,16.14,15.96,22.76,5.39,DR7,Sloan,Simbad,NED
1201,0,,192.92319999999998,13.095099999999999,0.701,1496.6,M," ",dE(N),BE,401,,16.93,15.65,15.1,14.78,14.63,38.22,11.02,DR7,Sloan,Simbad,NED
1202,0,4746,192.98009999999996,12.082999999999998,2.308,1754.8,M," ",Sc,BE,203,,14.21,13.07,12.45,12.14,11.88,81.76,16.94,DR7,Sloan,Simbad,NED
1203,0,,192.98199999999997,8.8782,0.027,1125.4,M," ",dE(N),RA,401,,17.33,16.05,15.43,15.09,15.06,28.08,8.14,DR7,Sloan,Simbad,NED
1204,0,,193.03719999999998,3.1209,0.769,950.5,M," ",dE(N),RA,401,,19.31,17.15,16.56,16.15,15.71,33.03,10.57,DR7,Sloan,Simbad,NED
1205,2092,4754,193.07259999999997,11.3143,45.576,1276.1,M,M,SB0,RA,210,SB015,12.81,11.07,10.28,9.87,9.59,176.97,23.28,DR7,Sloan,Simbad,NED
1206,0,,193.14059999999998,-1.7303999999999997,0.739,1123.9,M," ",dS0,BE,410,,16.7,15.62,14.98,14.73,15.01,50.15,11.59,DR7,Sloan,Simbad,NED
1207,0,,193.14269999999996,12.257599999999998,0.024,1681.4,M," ",dS0,BA,410,,16.28,15.17,14.72,14.35,14.2,66.49,14.34,DR7,Sloan,Simbad,NED
1209,0,4758,193.1846,15.846299999999998,42.951,1306.2,M," ",edge-on,BE,207,,14.35,13.13,12.54,12.23,12.04,148.09,31.93,DR7,Sloan,Simbad,NED
1210,0,,193.20589999999999,1.7344999999999997,0.307,862.2,M," ",dE,RA,400,,18.66,17.3,16.77,16.29,16.84,26.79,7.81,DR7,Sloan,Simbad,NED
1212,2095,4762,193.23309999999998,11.230699999999999,31.149,861.4,M,M,S0,RA,200,S019,12.41,10.75,10.03,9.64,9.42,294.42,37.2,DR7,Sloan,Simbad,NED
1213,0,,193.24579999999997,14.400299999999998,1.425,1021.3,M," ",Irr(LSB),BE,300,,17.41,16.87,16.73,16.34,16.63,35.91,9.78,DR7,Sloan,Simbad,NED
1214,0,,193.24689999999998,22.415499999999998,2.235,804.2,M," ",Sm,BE,205,,18.04,16.95,16.61,16.44,16.97,36.83,8.89,DR7,Sloan,Simbad,NED
1216,0,4765,193.31049999999996,4.463399999999999,1.774,712.7,M," ",Sm,BE,205,,13.96,13.14,12.8,12.65,12.48,44.24,8.08,DR7,Sloan,Simbad,NED
1217,0,4771,193.33839999999998,1.2691999999999999,0.393,1125.4,M," ",Sc,RE,203,,13.81,12.45,11.76,11.35,11.2,142.34,26.98,DR7,Sloan,Simbad,NED
1218,0,,193.35089999999997,1.9314999999999998,0.346,898.9,M," ",dE(N),RA,401,,17.69,16.82,16.07,16.01,16.03,36.21,10.65,DR7,Sloan,Simbad,NED
1220,0,,193.41609999999997,1.5749999999999997,1.099,884.3,M," ",Irr(LSB),BE,300,,18.48,17.14,16.73,16.38,16.2,40.56,8.6,DR7,Sloan,Simbad,NED
1221,0,,193.4174,4.075799999999999,0.636,919.7,M," ",Irr(LSB),BE,300,,18.26,17.16,16.54,16.44,15.92,25.81,6.69,DR7,Sloan,Simbad,NED
1222,0,,193.43039999999996,4.1541999999999994,1.416,781.0,M," ",Irr(HSB),BE,310,,17.77,17.19,16.99,16.84,16.68,10.95,3.27,DR7,Sloan,Simbad,NED
1224,0,,193.48029999999997,19.259399999999996,0.413,917.1,M," ",Irr(HSB),BE,310,,18.01,17.17,16.86,16.72,16.99,12.22,2.96,DR7,Sloan,Simbad,NED
1225,0,,193.50789999999998,-1.5082999999999998,0.066,1137.2,M," ",E,RA,100,,16.81,15.23,14.54,14.19,13.99,20.0,4.47,DR7,Sloan,Simbad,NED
1226,0,,193.509,9.447099999999999,1.209,1497.4,M," ",S,BE,206,,17.83,17.21,16.86,16.64,16.51,22.46,5.26,DR7,Sloan,Simbad,NED
1227,0,,193.52089999999998,-0.10119999999999998,1.869,907.3,M," ",Irr(LSB),BE,300,,17.43,15.98,15.45,15.17,14.67,46.61,14.96,DR7,Sloan,Simbad,NED
1228,0,,193.55259999999998,0.8025999999999999,0.373,1168.9,M," ",dS0,BE,410,,16.91,15.92,15.53,15.28,15.03,20.69,4.3,DR7,Sloan,Simbad,NED
1230,0,,193.65739999999997,1.3257999999999999,0.529,1176.6,M," ",dE,BE,400,,18.0,17.04,16.57,16.38,16.59,22.63,5.6,DR7,Sloan,Simbad,NED
1231,0,,193.6734,2.1041999999999996,0.961,841.5,M," ",dS0,BE,410,,15.94,14.52,13.94,13.62,13.38,27.92,8.08,DR7,Sloan,Simbad,NED
1233,0,,193.68409999999997,13.237099999999998,0.497,1113.9,M," ",edge-on,RE,207,,15.38,13.77,13.09,12.68,12.35,99.93,19.49,DR7,Sloan,Simbad,NED
1234,0,,193.68909999999997,18.1349,0.398,1136.7,M," ",dE,RA,400,,17.48,16.79,16.19,15.79,15.42,30.54,8.57,DR7,Sloan,Simbad,NED
1236,0,,193.70239999999998,19.176999999999996,0.672,944.1,M," ",SBc,BE,213,,14.68,13.67,13.32,13.12,12.94,97.23,21.52,DR7,Sloan,Simbad,NED
1237,0,4809,193.7128,2.6525,5.758,975.1,M," ",Irr(LSB),BE,300,,14.75,14.04,13.82,13.59,13.54,69.34,18.17,DR7,Sloan,Simbad,NED
